name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Rodrigo Sánchez,28,real-betis,M,21,0,0.0,Spain,14,10,0,0,5,0,1,14,0,0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0
Juanmi ,7,real-betis,F,28,"1,76",67.5,Spain,16,11,2,0,14,5,11,3,1,0,0.4,0.0,0.125,0.6875,0.1875,0.0625,0.0
Nabil Fekir,8,real-betis,F,27,"1,76",71.55,France,32,0,4,5,84,27,76,90,5,1,0.14814814814814814,0.15625,0.125,2.375,2.8125,0.15625,0.03125
Borja Iglesias,9,real-betis,F,28,"1,88",85.5,Spain,27,13,10,0,36,14,19,18,2,0,0.7142857142857143,0.0,0.37037037037037035,0.7037037037037037,0.6666666666666666,0.07407407407407407,0.0
Cristian Tello,11,real-betis,F,29,"1,55",63.45,Spain,28,16,5,3,35,14,6,8,0,0,0.35714285714285715,0.10714285714285714,0.17857142857142858,0.21428571428571427,0.2857142857142857,0.0,0.0
Lorenzo Morón,16,real-betis,F,27,"1,55",65.7,Spain,25,16,1,0,24,3,13,25,3,0,0.3333333333333333,0.0,0.04,0.52,1.0,0.12,0.0
Yassin Fekir,19,real-betis,F,24,0,0.0,France,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Aitor Ruibal,24,real-betis,F,25,"1,79",72.45,Spain,27,7,2,2,30,13,31,16,2,0,0.15384615384615385,0.07407407407407407,0.07407407407407407,1.1481481481481481,0.5925925925925926,0.07407407407407407,0.0
José Manuel Calderón,38,real-betis,F,21,"1,92",0.0,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pablo Ramon,0,real-madrid,D,19,"1,85",75.60000000000001,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Dani Carvajal,2,real-madrid,D,29,"1,76",72.45,Spain,13,2,0,2,9,2,17,10,5,0,0.0,0.15384615384615385,0.0,1.3076923076923077,0.7692307692307693,0.38461538461538464,0.0
Éder Militão,3,real-madrid,D,23,"1,85",77.4,Brazil,13,1,1,0,11,3,14,12,3,1,0.3333333333333333,0.0,0.07692307692307693,1.0769230769230769,0.9230769230769231,0.23076923076923078,0.07692307692307693
Sergio Ramos,4,real-madrid,D,35,"1,82",72.45,Spain,15,0,2,0,17,6,17,5,3,0,0.3333333333333333,0.0,0.13333333333333333,1.1333333333333333,0.3333333333333333,0.2,0.0
Raphaël Varane,5,real-madrid,D,28,"1,92",80.55,France,30,0,2,0,16,4,14,10,2,0,0.5,0.0,0.06666666666666667,0.4666666666666667,0.3333333333333333,0.06666666666666667,0.0
Nacho ,6,real-madrid,D,31,"1,55",75.60000000000001,Spain,23,1,1,0,11,3,37,24,8,0,0.3333333333333333,0.0,0.043478260869565216,1.608695652173913,1.0434782608695652,0.34782608695652173,0.0
